,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-03-21,524328000.0,16598600.0,11703530.0,4165400.0,3065800.0,,57357400.0,3546000.0,13362088.0,,2692800.0,5552300.0,3217430.0,6771600.0,51231000.0,8027600.0,8345550.0,8575800.0,4239900.0,3827600.0,5143400.0,81648800.0,13809600.0,14933000.0,934700.0,4168800.0,,3240883.0,1785300.0,7854600.0
2000-03-22,567996800.0,11226000.0,6373929.0,3359600.0,2487200.0,,59111600.0,2794200.0,13725900.0,,1258900.0,4746500.0,3007124.0,6137800.0,53693200.0,9983000.0,8604150.0,11884200.0,3754000.0,4404800.0,5274200.0,93975800.0,11780000.0,15490200.0,794500.0,5897600.0,,4342268.0,2592100.0,9963500.0
2000-03-23,562564800.0,20064100.0,11305267.0,4080400.0,3596000.0,,76967200.0,4197800.0,8163811.0,,1656900.0,5540300.0,3423122.0,6492400.0,45593800.0,10390000.0,10431450.0,10333800.0,4034900.0,4972000.0,4828100.0,148224000.0,12538400.0,13621800.0,1290000.0,6003200.0,,6167419.0,2187200.0,7025500.0
2000-03-24,446913600.0,21633800.0,9741003.0,5797500.0,2277600.0,,64910400.0,2815200.0,6630411.0,,1934400.0,5903600.0,3155964.0,12125600.0,46898000.0,38763600.0,9489000.0,8769200.0,3188100.0,5925000.0,6695600.0,112196800.0,7305600.0,14311600.0,754100.0,8687200.0,,3602266.0,2561700.0,7952900.0
2000-03-27,279182400.0,15924900.0,7037816.0,2534000.0,2241200.0,,47360000.0,3774200.0,5797669.0,,1315000.0,3828000.0,3039115.0,11862900.0,35766200.0,22607600.0,4828950.0,10535400.0,2189900.0,3254200.0,5578500.0,111434000.0,16704800.0,11909400.0,1205100.0,4664800.0,,3862907.0,5142700.0,5774900.0
2000-03-28,202966400.0,18037600.0,8031418.0,5056400.0,2619200.0,,42658000.0,3260800.0,7592600.0,,1649400.0,4848400.0,2426237.0,8149600.0,44857800.0,18375600.0,7325700.0,13673000.0,2963500.0,2448000.0,7592000.0,81114400.0,9060800.0,12057600.0,1754800.0,3800800.0,,3661422.0,2953600.0,5797600.0
2000-03-29,239836800.0,10524700.0,6100080.0,2731000.0,3778000.0,,54776100.0,5306200.0,5162494.0,,754300.0,6944300.0,2610950.0,7312300.0,61325400.0,14696000.0,9088350.0,16292600.0,5292800.0,3280800.0,7047200.0,64363800.0,17080800.0,15731600.0,775000.0,3594400.0,,3688776.0,3251000.0,13596700.0
2000-03-30,414400000.0,9182700.0,6803724.0,3311100.0,4877800.0,,67081600.0,7823200.0,5418652.0,,1241200.0,7934300.0,5189803.0,9158000.0,71646800.0,10338200.0,8017200.0,18795200.0,4939100.0,3155800.0,6303600.0,64178400.0,13088800.0,16008000.0,1717400.0,5237600.0,,4356723.0,4160000.0,11570800.0
2000-03-31,404633600.0,7864600.0,6340340.0,4640100.0,4850400.0,,53212600.0,6282000.0,5358236.0,,1693300.0,5169700.0,4237287.0,8015200.0,58442200.0,8013400.0,6805050.0,8857000.0,3738300.0,2459200.0,5662600.0,64281400.0,15036800.0,12033600.0,2262800.0,7032800.0,,5141091.0,7764900.0,9054000.0
2000-04-03,328563200.0,6449800.0,8983548.0,3234700.0,4664200.0,,61832400.0,3577200.0,4870654.0,,1789500.0,5898500.0,3496126.0,7715600.0,50071600.0,11106800.0,8509500.0,14186800.0,4459400.0,2871400.0,7647200.0,260118200.0,14220800.0,10071400.0,1440600.0,7430400.0,,3683883.0,2710800.0,11935700.0
